GEOID,keep
20001952600,1
20003953700,1
20011955600,1
20011955700,1
20011955800,1
20011955900,1
20021958100,1
20021958200,1
20021958300,1
20021958400,1
20021958500,1
20021958600,1
20037956600,1
20037956700,1
20037957601,1
20045000100,1
20045000501,1
20045000603,1
20045000604,1
20045001400,1
20045001500,1
20087020101,1
20087020102,1
20087020300,1
20099950600,1
20099950800,1
20107955101,1
20107955102,1
20107955200,1
20121100400,1
20133951600,1
20177000900,1
20177003002,1
20177003100,1
20177003901,1
20177003902,1
21005950102,1
21007950100,1
21013960100,1
21013960200,1
21013960300,1
21013960400,1
21013960500,1
21013960600,1
21013960700,1
21013960800,1
21013961100,1
21015070403,1
21015070405,1
21015070502,1
21019030900,1
21019031001,1
21019031004,1
21019031101,1
21019031102,1
21019031200,1
21021930100,1
21023950200,1
21025920200,1
21025920301,1
21025920302,1
21025920500,1
21025920600,1
21025920700,1
21025920800,1
21027960400,1
21031930100,1
21031930200,1
21031930301,1
21031930302,1
21031930400,1
21031930500,1
21033920100,1
21033920302,1
21037051901,1
21043960300,1
21043960500,1
21043960601,1
21043960602,1
21043960700,1
21047200902,1
21047201000,1
21047201100,1
21049020103,1
21049020105,1
21049020400,1
21049020500,1
21049020600,1
21051950100,1
21051950201,1
21051950202,1
21051950301,1
21051950302,1
21051950400,1
21051950500,1
21051950600,1
21055930100,1
21059000100,1
21059000200,1
21059000401,1
21059000402,1
21059000600,1
21059001300,1
21059001401,1
21059001402,1
21059001501,1
21059001502,1
21059001601,1
21059001602,1
21059001701,1
21059001703,1
21059001800,1
21063920101,1
21063920102,1
21063920200,1
21065920100,1
21065920400,1
21067003701,1
21067003918,1
21067004007,1
21071920100,1
21071920200,1
21071920301,1
21071920302,1
21071920401,1
21071920402,1
21071920500,1
21071920600,1
21071920700,1
21071920801,1
21071920802,1
21071920900,1
21071921001,1
21071921002,1
21073070703,1
21073071001,1
21079970101,1
21079970102,1
21085950600,1
21085950700,1
21089040100,1
21089040202,1
21089040300,1
21089040400,1
21089040502,1
21091960100,1
21091960200,1
21091960300,1
21095970100,1
21095970200,1
21095970300,1
21095970400,1
21095970500,1
21095970600,1
21095970700,1
21095970800,1
21095970900,1
21095971000,1
21095971300,1
21101020602,1
21101020701,1
21101020703,1
21101020704,1
21101020800,1
21101020901,1
21101020902,1
21107970100,1
21107970200,1
21107970301,1
21107970302,1
21107970400,1
21107970500,1
21107970600,1
21107970700,1
21107970800,1
21107970900,1
21107971000,1
21107971100,1
21107971300,1
21109960101,1
21109960102,1
21109960200,1
21109960301,1
21109960302,1
21111000400,1
21111000800,1
21111012103,1
21111012407,1
21111012409,1
21111012412,1
21111012413,1
21111012503,1
21111012702,1
21111012703,1
21113060402,1
21115960100,1
21115960200,1
21115960300,1
21115960401,1
21115960402,1
21115960500,1
21115960600,1
21119960100,1
21119960200,1
21119960300,1
21119960400,1
21119960500,1
21121930100,1
21121930200,1
21121930300,1
21121930401,1
21121930402,1
21121930501,1
21121930502,1
21121930602,1
21121930603,1
21121930604,1
21121930700,1
21125970100,1
21125970201,1
21125970202,1
21125970300,1
21125970400,1
21125970500,1
21125970600,1
21125970700,1
21125970800,1
21125970900,1
21125971001,1
21125971004,1
21125971101,1
21125971104,1
21127930101,1
21127930102,1
21127930200,1
21127930300,1
21127930400,1
21127930500,1
21129950100,1
21129950200,1
21129950300,1
21131920101,1
21131920102,1
21131920200,1
21131920300,1
21133950100,1
21133950201,1
21133950202,1
21133950300,1
21133950401,1
21133950403,1
21133950404,1
21133950500,1
21133950601,1
21133950602,1
21135930300,1
21141960200,1
21145031401,1
21145031501,1
21145031502,1
21147960100,1
21147960200,1
21147960301,1
21147960302,1
21147960401,1
21147960402,1
21149970100,1
21149970200,1
21149970500,1
21151010101,1
21151010104,1
21153970100,1
21153970201,1
21153970202,1
21153970300,1
21153970400,1
21159950100,1
21159950201,1
21159950202,1
21159950300,1
21161960100,1
21165960100,1
21167960100,1
21167960400,1
21167960500,1
21175950100,1
21175950200,1
21175950300,1
21175950400,1
21175950500,1
21177960100,1
21177960201,1
21177960202,1
21177960300,1
21177960400,1
21177960500,1
21177960600,1
21177960700,1
21177960800,1
21177960900,1
21183920100,1
21183920200,1
21183920300,1
21183920400,1
21183920501,1
21183920502,1
21183920600,1
21183920700,1
21189930100,1
21189930200,1
21191930101,1
21193970300,1
21193970400,1
21193970501,1
21193970502,1
21193970601,1
21193970602,1
21193970700,1
21193970800,1
21193970900,1
21193971000,1
21195930100,1
21195930201,1
21195930202,1
21195930301,1
21195930302,1
21195930400,1
21195930500,1
21195930600,1
21195930700,1
21195930800,1
21195930900,1
21195931000,1
21195931101,1
21195931102,1
21195931200,1
21195931300,1
21195931400,1
21195931500,1
21195931600,1
21195931700,1
21195931800,1
21195931900,1
21197970101,1
21199930102,1
21199930404,1
21199930802,1
21199930900,1
21199931000,1
21199931101,1
21199931103,1
21199931104,1
21203950300,1
21203950400,1
21205950400,1
21221970100,1
21225950100,1
21225950201,1
21225950202,1
21225950300,1
21231920702,1
21233960100,1
21233960200,1
21233960300,1
21233960400,1
21235920200,1
21235920301,1
21235920302,1
21235920401,1
21235920402,1
21235920501,1
21235920502,1
21235920601,1
21235920602,1
21235920700,1
21235920800,1
21237930100,1
21237930200,1
21239050103,1
21239050104,1
21239050107,1
21239050200,1
21239050300,1
21239050400,1
22013970300,1
22013970400,1
22015011002,1
22017024002,1
22031950101,1
22031950102,1
22031950200,1
22031950300,1
22031950400,1
22031950600,1
22031950700,1
22069000100,1
22069000200,1
22069000300,1
22081960100,1
22081960300,1
24001001401,1
24001001502,1
24001001503,1
24001001600,1
24001001700,1
24001001800,1
24001001900,1
24001002000,1
24001002100,1
24001002200,1
24003730101,1
24003730102,1
24003730204,1
24003730206,1
24003731308,1
24003731309,1
24003751102,1
24003751103,1
24003990000,1
24005451801,1
24005451802,1
24005451803,1
24009860200,1
24009860600,1
24009860701,1
24017850201,1
24017850202,1
24017850300,1
24017850400,1
24017850802,1
24017851100,1
24017851200,1
24017851301,1
24017851401,1
24017851402,1
24017851403,1
24017990000,1
